id;title;description;estimated_salary;type;employment_type;created_at;modified_at
1;teal e-commerce support;Table New Jersey Global;93997;ON_SITE;TEMPORARY;2021-03-12T13:54:40;2021-03-12T23:51:56
2;Towels deliver;Fresh Identity Pine;63330;ON_SITE;SEASONAL;2021-03-12T18:31:19;2021-03-12T22:54:12
3;user-centric;Avon compress Rhode Island;1277;REMOTE;PART_TIME;2021-03-13T04:27:55;2021-03-12T20:40:43
4;bypassing;Unbranded;8364;REMOTE;INTERNSHIP;2021-03-12T14:43:41;2021-03-12T17:05:29
5;Assistant Investment Account;Credit Card Account;91070;REMOTE;FULL_TIME;2021-03-12T23:00:37;2021-03-13T00:44:10
6;Incredible Plastic Tuna;open-source Awesome Wooden Pizza;85978;ON_SITE;INTERNSHIP;2021-03-13T11:03:59;2021-03-13T05:06:39
7;revolutionary;User-friendly foreground Concrete;98988;ON_SITE;CONTRACT;2021-03-12T15:22:27;2021-03-13T01:30:59
8;SAS;payment extensible Pizza;35349;REMOTE;INTERNSHIP;2021-03-13T10:26:41;2021-03-13T03:27:22
9;compressing deposit;Digitized Sleek application;27025;ON_SITE;PART_TIME;2021-03-13T02:23:40;2021-03-12T19:15:10
10;Supervisor;Minnesota;76764;REMOTE;INTERNSHIP;2021-03-12T23:11:45;2021-03-12T23:27:24
